NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
IL2RB	1	ENSG00000100385	
CYP4A26P	1	ENSG00000259832	
CDRT15	1	ENSG00000223510	
LGALSL	1	ENSG00000119862	
OR2AH1P	1	ENSG00000232511	
PEX26	1	ENSG00000215193	
LGALS4	1	ENSG00000171747	
C4B	4	ENSG00000224389:ENSG00000236625:ENSG00000228267:ENSG00000228454	
LGALS3	1	ENSG00000131981	
C4A	4	ENSG00000227746:ENSG00000244207:ENSG00000244731:ENSG00000206340	
HMGN2P48	1	ENSG00000229979	
LGALS2	1	ENSG00000100079	
HMGN2P47	1	ENSG00000259246	
LGALS1	1	ENSG00000100097	
IL36A	1	ENSG00000136694	
HMGN2P46	1	ENSG00000179362	
IL36B	1	ENSG00000136696	
H2BC12L	1	ENSG00000234289	
MCIDAS	1	ENSG00000234602	
BSG	1	ENSG00000172270	
HMGN2P41	1	ENSG00000261620	
HMGN2P40	1	ENSG00000260602	
LGALS9	1	ENSG00000168961	
LGALS8	1	ENSG00000116977	
BSN	1	ENSG00000164061	
LGALS7	1	ENSG00000205076	
OR7E43P	1	ENSG00000249844	
BSX	1	ENSG00000188909	
HTR3C2P	1	ENSG00000233576	
ZNF542P	1	ENSG00000240225	
CFDP1	1	ENSG00000153774	
BTD	1	ENSG00000169814	
CRISPLD1	1	ENSG00000121005	
CRISPLD2	1	ENSG00000103196	
SUB1	1	ENSG00000113387	
BTK	1	ENSG00000010671	
OR5G5P	1	ENSG00000205025	
DHX8	1	ENSG00000067596	
DHX9	1	ENSG00000135829	
NKAIN2	1	ENSG00000188580	
NKAIN1	1	ENSG00000084628	
NKAIN4	1	ENSG00000101198	
MC2R	1	ENSG00000185231	
NKAIN3	1	ENSG00000185942	
RACGAP1	1	ENSG00000161800	
OR5G4P	1	ENSG00000255485	
STK25P1	1	ENSG00000267570	
OR7E47P	1	ENSG00000257542	
BBS2	1	ENSG00000125124	
SLC10A4	1	ENSG00000145248	
BBS1	1	ENSG00000174483	
SLC10A5	1	ENSG00000253598	
XBP1	1	ENSG00000100219	
SLC10A6	1	ENSG00000145283	
SLC10A7	1	ENSG00000120519	
MAP1LC3BP1	1	ENSG00000231909	
HSD17B1P1	1	ENSG00000108785	
TRDV2	1	ENSG00000211821	
SLC10A1	1	ENSG00000100652	
TRDV3	1	ENSG00000256590	
SLC10A2	1	ENSG00000125255	
SPDYC	1	ENSG00000204710	
SLC10A3	1	ENSG00000126903	
TRDV1	1	ENSG00000211804	
SUCO	1	ENSG00000094975	
IL36G	1	ENSG00000136688	
PEX5L	1	ENSG00000114757	
MC1R	1	ENSG00000258839	
SPDYA	1	ENSG00000163806	
OR7E46P	1	ENSG00000234485	
OR3A4P	1	ENSG00000180068	
C8B	1	ENSG00000021852	
C8A	1	ENSG00000157131	
MC4R	1	ENSG00000166603	
C8G	1	ENSG00000176919	
SUFU	1	ENSG00000107882	
BBS9	1	ENSG00000122507	
BBS7	1	ENSG00000138686	
BBS5	1	ENSG00000163093	
BBS4	1	ENSG00000140463	
PCYT1B	1	ENSG00000102230	
ZHX2	1	ENSG00000178764	
PCYT1A	1	ENSG00000161217	
ZHX3	1	ENSG00000174306	
CACYBP	1	ENSG00000116161	
CSRP2P2	1	ENSG00000249098	
ZHX1	1	ENSG00000165156	
RNF144A	1	ENSG00000151692	
MC3R	1	ENSG00000124089	
RNF144B	1	ENSG00000137393	
TAX1BP1	1	ENSG00000106052	
TAX1BP3	1	ENSG00000213977	
RNF13P1	1	ENSG00000242068	
PEX16	1	ENSG00000121680	
PEX19	1	ENSG00000162735	
MT2P1	1	ENSG00000162840	
PEX10	1	ENSG00000157911	
PEX12	1	ENSG00000108733	
PEX13	1	ENSG00000162928	
PEX14	1	ENSG00000142655	
MC5R	1	ENSG00000176136	
INPPL1	1	ENSG00000165458	
RBM22P2	1	ENSG00000213411	
RBM22P1	1	ENSG00000265097	
IGF1R	1	ENSG00000140443	
PPIP5K1	1	ENSG00000168781	
PPIP5K2	2	ENSG00000262234:ENSG00000145725	
ENPP2	1	ENSG00000136960	
ENPP1	1	ENSG00000197594	
ENPP4	1	ENSG00000001561	
ENPP3	1	ENSG00000154269	
SAMM50P1	1	ENSG00000224488	
ENPP6	1	ENSG00000164303	
ENPP5	1	ENSG00000112796	
ENPP7	1	ENSG00000182156	
CPSF1P2	1	ENSG00000220132	
CPSF1P1	1	ENSG00000214076	
DHDDS	1	ENSG00000117682	
RBMS2P1	1	ENSG00000213250	
HTRA3	1	ENSG00000170801	
HTRA4	1	ENSG00000169495	
HTRA1	1	ENSG00000166033	
DAPP1	1	ENSG00000070190	
HTRA2	1	ENSG00000115317	
FAM151AP1	1	ENSG00000234805	
CHCHD10	1	ENSG00000250479	
IGF2R	1	ENSG00000197081	
BSPRY	1	ENSG00000119411	
RBM22P5	1	ENSG00000231137	
RBM22P3	1	ENSG00000226485	
OR7M1P	1	ENSG00000273336	
RBM22P7	1	ENSG00000223395	
CA1	1	ENSG00000133742	
ZIC2	1	ENSG00000043355	
CA3	1	ENSG00000164879	
CA2	1	ENSG00000104267	
ZIC3	1	ENSG00000156925	
ZIC1	1	ENSG00000152977	
CA4	1	ENSG00000167434	
CA7	1	ENSG00000168748	
CA6	1	ENSG00000131686	
CA9	1	ENSG00000107159	
CA8	1	ENSG00000178538	
SUN3	1	ENSG00000164744	
SUN2	1	ENSG00000100242	
SUN1	1	ENSG00000164828	
ATP6AP1	1	ENSG00000071553	
CAD	1	ENSG00000084774	
ATP6AP2	1	ENSG00000182220	
HUNK	1	ENSG00000142149	
IGHV2OR16-5	1	ENSG00000259303	
SUN5	1	ENSG00000167098	
RBM48P1	1	ENSG00000223620	
CAT	1	ENSG00000121691	
SHANK3	1	ENSG00000251322	
SHANK2	1	ENSG00000162105	
SHANK1	1	ENSG00000161681	
OR5G1P	1	ENSG00000181296	
DAPL1	1	ENSG00000163331	
CBL	1	ENSG00000110395	
SV2C	1	ENSG00000122012	
SV2B	1	ENSG00000185518	
TBX22	1	ENSG00000122145	
SV2A	1	ENSG00000159164	
CBS	1	ENSG00000160200	
TBX21	1	ENSG00000073861	
TBX20	1	ENSG00000164532	
CLVS2	1	ENSG00000146352	
CASP3P1	1	ENSG00000237033	
CLVS1	1	ENSG00000177182	
ZIC4	1	ENSG00000174963	
CCK	1	ENSG00000187094	
ZIC5	1	ENSG00000139800	
SUOX	1	ENSG00000139531	
TBX19	1	ENSG00000143178	
TBX18	1	ENSG00000112837	
CD2	1	ENSG00000116824	
TBX15	1	ENSG00000092607	
CD4	1	ENSG00000010610	
CCS	1	ENSG00000173992	
NOPCHAP1	1	ENSG00000151131	
CD6	1	ENSG00000013725	
CD5	1	ENSG00000110448	
TBX10	1	ENSG00000167800	
CD7	1	ENSG00000173762	
CD9	1	ENSG00000010278	
RPL36AP13	1	ENSG00000233747	
CDA	1	ENSG00000158825	
RPL36AP14	1	ENSG00000233335	
RPL36AP11	1	ENSG00000237003	
RPL36AP12	1	ENSG00000224685	
RPL36AP17	1	ENSG00000226489	
RPL36AP18	1	ENSG00000240426	
CLEC10A	1	ENSG00000132514	
RPL36AP15	1	ENSG00000235369	
RPL36AP16	1	ENSG00000232228	
RPL36AP19	1	ENSG00000243280	
BPTFP1	1	ENSG00000263647	
SCN11A	1	ENSG00000168356	
RPL36AP20	1	ENSG00000242080	
RPL36AP21	1	ENSG00000240785	
RPL36AP24	1	ENSG00000238055	
RPL36AP25	1	ENSG00000225832	
RPL36AP23	1	ENSG00000241722	
RPL36AP28	1	ENSG00000225416	
RPL36AP29	1	ENSG00000224683	
RPL36AP26	1	ENSG00000235828	
CLEC11A	1	ENSG00000105472	
RPL36AP27	1	ENSG00000225443	
HUS1	1	ENSG00000136273	
CEL	1	ENSG00000170835	
NUP93	1	ENSG00000102900	
BCAN	1	ENSG00000132692	
SCN10A	1	ENSG00000185313	
BCAM	1	ENSG00000187244	
HECW2	1	ENSG00000138411	
HECW1	1	ENSG00000002746	
SRFBP1	1	ENSG00000151304	
NUP98	1	ENSG00000110713	
RPL36AP31	1	ENSG00000227753	
RPL36AP32	1	ENSG00000242958	
CFB	5	ENSG00000239754:ENSG00000243649:ENSG00000204359:ENSG00000242335:ENSG00000241253	
RPL36AP30	1	ENSG00000224629	
CFD	1	ENSG00000197766	
CFH	1	ENSG00000000971	
CFI	1	ENSG00000205403	
CFP	1	ENSG00000126759	
RRP7A	1	ENSG00000189306	
NUP85	1	ENSG00000125450	
NUP88	1	ENSG00000108559	
CGA	1	ENSG00000135346	
C3orf18	1	ENSG00000088543	
MCAM	1	ENSG00000076706	
CGN	1	ENSG00000143375	
C3orf14	1	ENSG00000114405	
MCAT	1	ENSG00000100294	
ZNF559-ZNF177	1	ENSG00000270011	
OR10AH1P	1	ENSG00000272595	
RPL36AP10	1	ENSG00000237959	
MOCS2	1	ENSG00000164172	
MOCS3	1	ENSG00000124217	
STON1	1	ENSG00000243244	
CHM	1	ENSG00000188419	
STON2	1	ENSG00000140022	
MCEE	1	ENSG00000124370	
RRP12	1	ENSG00000052749	
CIC	1	ENSG00000079432	
RRP15	1	ENSG00000067533	
ZIK1	1	ENSG00000171649	
EDARADD	1	ENSG00000186197	
CT45A10	1	ENSG00000269586	
C10orf88B	1	ENSG00000255624	
ECRG4	1	ENSG00000119147	
CIT	1	ENSG00000122966	
SLC9B1P3	1	ENSG00000233867	
SLC9B1P2	1	ENSG00000214329	
SLC9B1P4	1	ENSG00000227367	
PLIN4	1	ENSG00000167676	
PLIN3	1	ENSG00000105355	
PLIN2	1	ENSG00000147872	
PLIN1	1	ENSG00000166819	
RCCD1	1	ENSG00000166965	
MOCS1	1	ENSG00000124615	
PLIN5	1	ENSG00000214456	
TRBV12-1	1	ENSG00000244661	
DCAF12L2	1	ENSG00000198354	
DCAF12L1	1	ENSG00000198889	
PTPN11P5	1	ENSG00000248113	
PTPN11P4	1	ENSG00000250332	
PTPN11P3	1	ENSG00000220412	
PTPN11P2	1	ENSG00000250031	
TRBV12-2	1	ENSG00000211739	
PTPN11P1	1	ENSG00000239455	
SLC9B1P1	1	ENSG00000183704	
RASSF10	1	ENSG00000189431	
RRP36	1	ENSG00000124541	
CKB	1	ENSG00000166165	
PAIP2	1	ENSG00000120727	
ZIM2	1	ENSG00000269699	
ZIM3	1	ENSG00000141946	
PAIP1	1	ENSG00000172239	
BCHE	1	ENSG00000114200	
HIPK4	1	ENSG00000160396	
CKM	1	ENSG00000104879	
MCF2	1	ENSG00000101977	
MOCOS	1	ENSG00000075643	
G0S2	1	ENSG00000123689	
RRP1B	1	ENSG00000160208	
HIPK1	1	ENSG00000163349	
HIPK3	1	ENSG00000110422	
HIPK2	1	ENSG00000064393	
HERC2P10	1	ENSG00000259845	
HERC2P11	1	ENSG00000261581	
FOSB	1	ENSG00000125740	
CLC	1	ENSG00000105205	
TMEM229A	1	ENSG00000234224	
RNASEH2CP1	1	ENSG00000237659	
RBMS1P1	1	ENSG00000225422	
MSX2P1	1	ENSG00000229590	
TMEM229B	1	ENSG00000198133	
CLU	1	ENSG00000120885	
MT1DP	1	ENSG00000205361	
OIP5	1	ENSG00000104147	
IFNA11P	1	ENSG00000231195	
DIO1	1	ENSG00000211452	
DIO2	1	ENSG00000211448	
DIO3	1	ENSG00000197406	
FAM91A1	1	ENSG00000176853	
MTNR1A	1	ENSG00000168412	
MT1CP	1	ENSG00000205360	
MTNR1B	1	ENSG00000134640	
TBCAP1	1	ENSG00000226781	
TBCAP2	1	ENSG00000235829	
TBCAP3	1	ENSG00000249055	
IFNA12P	1	ENSG00000235108	
PMM2P2	1	ENSG00000267116	
OR7E62P	1	ENSG00000234896	
CNP	1	ENSG00000173786	
PMM2P1	1	ENSG00000265038	
H2BC19P	1	ENSG00000220323	
CD300LB	1	ENSG00000178789	
CD300LD	1	ENSG00000204345	
CD300LF	1	ENSG00000186074	
CD300LG	1	ENSG00000161649	
MCL1	1	ENSG00000143384	
SRSF10P1	1	ENSG00000267717	
TCEANC	1	ENSG00000176896	
BCL9	1	ENSG00000116128	
UBOX5	1	ENSG00000185019	
OR6C64P	1	ENSG00000234670	
BCL6	1	ENSG00000113916	
VPS26CP1	1	ENSG00000213083	
CPD	1	ENSG00000108582	
BCL3	1	ENSG00000069399	
BCL2	1	ENSG00000171791	
GLUD1P3	1	ENSG00000250959	
CPE	1	ENSG00000109472	
GLUD1P4	1	ENSG00000267486	
OR51H2P	1	ENSG00000198217	
GLUD1P9	1	ENSG00000234349	
OSCP1	1	ENSG00000116885	
CPM	1	ENSG00000135678	
RPL36AP55	1	ENSG00000226016	
CPP	1	ENSG00000253525	
CPO	1	ENSG00000144410	
MCM7	1	ENSG00000166508	
CPQ	1	ENSG00000104324	
MCM8	1	ENSG00000125885	
COL14A1	1	ENSG00000187955	
SMAD3-AS1	1	ENSG00000259202	
MCM9	1	ENSG00000111877	
CPZ	1	ENSG00000109625	
KBTBD13	1	ENSG00000234438	
KBTBD12	1	ENSG00000187715	
SRIP1	1	ENSG00000248660	
H2BC16P	1	ENSG00000217646	
SRIP2	1	ENSG00000224065	
SRIP3	1	ENSG00000224953	
CEP170B	1	ENSG00000099814	
OIT3	1	ENSG00000138315	
DPRXP5	1	ENSG00000270652	
DPRXP4	1	ENSG00000264743	
CR2	1	ENSG00000117322	
CR1	1	ENSG00000203710	
DPRXP2	1	ENSG00000271304	
GGPS1	1	ENSG00000152904	
DPRXP1	1	ENSG00000224323	
DIS3	1	ENSG00000083520	
SGIP1	1	ENSG00000118473	
HMGN2P19	1	ENSG00000229367	
HMGN2P18	1	ENSG00000223452	
DPRXP7	1	ENSG00000271464	
HMGN2P17	1	ENSG00000238249	
DPRXP6	1	ENSG00000270791	
HMGN2P16	1	ENSG00000231376	
HMGN2P15	1	ENSG00000214578	
OR6C66P	1	ENSG00000233606	
HMGN2P13	1	ENSG00000241810	
SAPCD2	1	ENSG00000186193	
SAPCD1	3	ENSG00000228727:ENSG00000229176:ENSG00000237918	
HMGN2P11	1	ENSG00000232605	
HMGN2P10	1	ENSG00000231261	
MCM3	1	ENSG00000112118	
XCL2	1	ENSG00000143185	
CRH	1	ENSG00000147571	
ST20-MTHFS	1	ENSG00000259332	
MCM4	1	ENSG00000104738	
XCL1	1	ENSG00000143184	
MCM5	1	ENSG00000100297	
MCM6	1	ENSG00000076003	
IGKV3D-7	1	ENSG00000228325	
CRK	1	ENSG00000167193	
MCM2	1	ENSG00000073111	
CRP	1	ENSG00000132693	
RPL36AP35	1	ENSG00000231810	
RPL36AP36	1	ENSG00000237540	
RPL36AP33	1	ENSG00000235619	
RPL36AP34	1	ENSG00000232867	
RPL36AP39	1	ENSG00000230980	
RPL36AP37	1	ENSG00000244398	
RPL36AP38	1	ENSG00000241097	
CRX	1	ENSG00000105392	
SELENOKP2	1	ENSG00000219532	
BUB3P1	1	ENSG00000227968	
SELENOKP1	1	ENSG00000267319	
SELENOKP3	1	ENSG00000225549	
HMGN2P28	1	ENSG00000236086	
HMGN2P27	1	ENSG00000232916	
STOX2	1	ENSG00000173320	
HMGN2P26	1	ENSG00000241203	
HMGN2P25	1	ENSG00000228398	
HMGN2P24	1	ENSG00000229072	
HMGN2P23	1	ENSG00000236124	
HMGN2P22	1	ENSG00000227259	
SVBP	1	ENSG00000177868	
HMGN2P21	1	ENSG00000228034	
HMGN2P20	1	ENSG00000232963	
IL21R	1	ENSG00000103522	
CSK	1	ENSG00000103653	
BCO2	1	ENSG00000197580	
BCO1	1	ENSG00000135697	
RPL36AP43	1	ENSG00000241362	
STOX1	1	ENSG00000165730	
RPL36AP40	1	ENSG00000240298	
RPL36AP41	1	ENSG00000242087	
SLC35A2	1	ENSG00000102100	
RPL36AP46	1	ENSG00000224011	
SLC35A1	1	ENSG00000164414	
RPL36AP47	1	ENSG00000242123	
SLC35A4	1	ENSG00000176087	
RPL36AP44	1	ENSG00000240163	
SLC35A3	1	ENSG00000117620	
RPL36AP45	1	ENSG00000240366	
PEX12P1	1	ENSG00000215418	
RPL36AP48	1	ENSG00000213180	
RPL36AP49	1	ENSG00000243779	
OR6C69P	1	ENSG00000213451	
CPPED1	1	ENSG00000103381	
KBTBD11	1	ENSG00000176595	
HMGN2P39	1	ENSG00000214281	
ASXL1	1	ENSG00000171456	
MAB21L3	1	ENSG00000173212	
HMGN2P38	1	ENSG00000231726	
MAB21L4	1	ENSG00000172478	
HMGN2P36	1	ENSG00000228901	
HMGN2P35	1	ENSG00000232875	
HMGN2P34	1	ENSG00000231471	
CTH	1	ENSG00000116761	
ASXL3	1	ENSG00000141431	
MAB21L1	1	ENSG00000180660	
HMGN2P32	1	ENSG00000213558	
ASXL2	1	ENSG00000143970	
MAB21L2	1	ENSG00000181541	
HMGN2P31	1	ENSG00000214195	
HMGN2P30	1	ENSG00000213721	
RPL36AP50	1	ENSG00000243494	
BCOR	1	ENSG00000183337	
RPL36AP53	1	ENSG00000224664	
RPL36AP54	1	ENSG00000226107	
RPL36AP51	1	ENSG00000242291	
RPL36AP52	1	ENSG00000214925	
OR7E66P	1	ENSG00000243674	
SLC35B3	1	ENSG00000124786	
SLC35B2	1	ENSG00000157593	
IL1RN	1	ENSG00000136689	
SLC35B4	1	ENSG00000205060	
SLC35B1	1	ENSG00000121073	
IL23R	1	ENSG00000162594	
OSBPL9P5	1	ENSG00000256285	
CALR4P	1	ENSG00000227742	
OSBPL9P1	1	ENSG00000271389	
OSBPL9P2	1	ENSG00000254677	
OSBPL9P3	1	ENSG00000255070	
OSBPL9P4	1	ENSG00000256420	
ARFIP2	1	ENSG00000132254	
ARFIP1	1	ENSG00000164144	
SLC35A5	1	ENSG00000138459	
TANGO6	1	ENSG00000103047	
OR5H7P	1	ENSG00000187900	
IL1R1	1	ENSG00000115594	
SLC35C2	1	ENSG00000080189	
IL1R2	1	ENSG00000115590	
TANGO2	1	ENSG00000183597	
SLC35C1	1	ENSG00000181830	
IL23A	1	ENSG00000110944	
NDUFS5P1	1	ENSG00000218424	
NDUFS5P2	1	ENSG00000234226	
OR3B1P	1	ENSG00000237619	
NDUFS5P3	1	ENSG00000233664	
NDUFS5P4	1	ENSG00000251437	
NDUFS5P5	1	ENSG00000230671	
NDUFS5P6	1	ENSG00000255531	
SLC35D1	1	ENSG00000116704	
SH2D2A	1	ENSG00000027869	
SLC35D3	1	ENSG00000182747	
SLC35D2	1	ENSG00000130958	
OR2AI1P	1	ENSG00000236791	
OTUD4P1	1	ENSG00000118976	
MT1JP	1	ENSG00000255986	
OR7E59P	1	ENSG00000250561	
XCR1	1	ENSG00000173578	
SLC35E1	1	ENSG00000127526	
SLC35E4	1	ENSG00000100036	
SLC35E3	1	ENSG00000175782	
SH2D1A	1	ENSG00000183918	
SH2D1B	1	ENSG00000198574	
PSMA1P1	1	ENSG00000225715	
OR5H5P	1	ENSG00000249321	
SLC35F6	1	ENSG00000213699	
SLC35F3	1	ENSG00000183780	
CAB39L	1	ENSG00000102547	
SLC35F2	1	ENSG00000110660	
SLC35F5	1	ENSG00000115084	
MCUB	1	ENSG00000005059	
SLC35F4	1	ENSG00000151812	
SLC35F1	1	ENSG00000196376	
SIPA1L2	1	ENSG00000116991	
MRPS31P4	1	ENSG00000250299	
SIPA1L3	1	ENSG00000105738	
MRPS31P5	1	ENSG00000243406	
MRPS31P2	1	ENSG00000232894	
SIPA1L1	1	ENSG00000197555	
IGHD2-21	1	ENSG00000211912	
COX6CP18	1	ENSG00000236041	
COX6CP16	1	ENSG00000270313	
COX6CP17	1	ENSG00000235141	
SLC35G4	1	ENSG00000236396	
COX6CP14	1	ENSG00000239576	
SLC35G3	1	ENSG00000164729	
COX6CP15	1	ENSG00000228092	
COX6CP12	1	ENSG00000234463	
SLC35G6	1	ENSG00000259224	
SLC35G5	1	ENSG00000177710	
COX6CP13	1	ENSG00000234144	
COX6CP10	1	ENSG00000238008	
MT1P3	1	ENSG00000229230	
COX6CP11	1	ENSG00000258668	
SLC35G2	1	ENSG00000168917	
SLC35G1	1	ENSG00000176273	
MT1P1	1	ENSG00000213761	
C1QTNF12	1	ENSG00000184163	
MPRIPP1	1	ENSG00000214820	
AMER1	1	ENSG00000184675	
RPS3AP9	1	ENSG00000231022	
AMER2	1	ENSG00000165566	
AMER3	1	ENSG00000178171	
RPS3AP5	1	ENSG00000178429	
RPS3AP6	1	ENSG00000234797	
RPS3AP7	1	ENSG00000229965	
RPS3AP8	1	ENSG00000233562	
RGPD6	1	ENSG00000183054	
RPS3AP1	1	ENSG00000233206	
RGPD5	1	ENSG00000015568	
RPS3AP2	1	ENSG00000219027	
RGPD8	1	ENSG00000169629	
RPS3AP3	1	ENSG00000231241	
RPS3AP4	1	ENSG00000259105	
RGPD2	1	ENSG00000185304	
RGPD1	1	ENSG00000187627	
AGAP2-AS1	1	ENSG00000255737	
RGPD4	1	ENSG00000196862	
RGPD3	1	ENSG00000153165	
BEGAIN	1	ENSG00000183092	
TCEAL8	1	ENSG00000180964	
TCEAL7	1	ENSG00000182916	
TCEAL6	1	ENSG00000204071	
TCEAL5	1	ENSG00000204065	
TCEAL4	1	ENSG00000133142	
TCEAL3	1	ENSG00000196507	
TCEAL2	1	ENSG00000184905	
TCEAL1	1	ENSG00000172465	
TCEAL9	1	ENSG00000185222	
SVIL	1	ENSG00000197321	
SVIP	1	ENSG00000198168	
S100A11P10	1	ENSG00000237275	
SPCS3	1	ENSG00000129128	
SPCS2	1	ENSG00000118363	
SPCS1	1	ENSG00000114902	
