NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
RNU7-9P	1	ENSG00000238782	
LGALSL	1	ENSG00000119862	
OR2AH1P	1	ENSG00000232511	
PEX26	1	ENSG00000215193	
LGALS4	1	ENSG00000171747	
C4B	1	ENSG00000224389	
LGALS3	1	ENSG00000131981	
HMGN2P48	1	ENSG00000229979	
C4A	1	ENSG00000244731	
LGALS2	1	ENSG00000100079	
HMGN2P47	1	ENSG00000259246	
LGALS1	1	ENSG00000100097	
IL36A	1	ENSG00000136694	
HMGN2P46	1	ENSG00000179362	
IL36B	1	ENSG00000136696	
H2BC12L	1	ENSG00000234289	
MCIDAS	1	ENSG00000234602	
FOXD3-AS1	1	ENSG00000230798	
BSG	1	ENSG00000172270	
HMGN2P41	1	ENSG00000261620	
HMGN2P40	1	ENSG00000260602	
LGALS9	1	ENSG00000168961	
LGALS8	1	ENSG00000116977	
BSN	1	ENSG00000164061	
LGALS7	1	ENSG00000205076	
INHBA-AS1	1	ENSG00000224116	
OR7E43P	1	ENSG00000249844	
BSX	1	ENSG00000188909	
HTR3C2P	1	ENSG00000233576	
RNU7-8P	1	ENSG00000251767	
SEZ6L-AS1	1	ENSG00000224192	
DMD-AS3	1	ENSG00000236828	
BTC	1	ENSG00000174808	
ZNF542P	1	ENSG00000240225	
CFDP1	1	ENSG00000153774	
BTD	1	ENSG00000169814	
CRISPLD1	1	ENSG00000121005	
CRISPLD2	1	ENSG00000103196	
SUB1	1	ENSG00000113387	
BTK	1	ENSG00000010671	
TBC1D26-AS1	1	ENSG00000233002	
OR5G5P	1	ENSG00000205025	
DOCK9-DT	1	ENSG00000260992	
ENSG00000252188	1	ENSG00000252188	
DHX8	1	ENSG00000067596	
DHX9	1	ENSG00000135829	
NKAIN2	1	ENSG00000188580	
NKAIN1	1	ENSG00000084628	
NKAIN4	1	ENSG00000101198	
MC2R	1	ENSG00000185231	
NKAIN3	1	ENSG00000185942	
RACGAP1	1	ENSG00000161800	
OR5G4P	1	ENSG00000255485	
STK25P1	1	ENSG00000267570	
OR7E47P	1	ENSG00000257542	
BBS2	1	ENSG00000125124	
SLC10A4	1	ENSG00000145248	
BBS1	1	ENSG00000174483	
SLC10A5	1	ENSG00000253598	
XBP1	1	ENSG00000100219	
SLC10A6	1	ENSG00000145283	
SLC10A7	1	ENSG00000120519	
MAP1LC3BP1	1	ENSG00000231909	
HSD17B1P1	1	ENSG00000108785	
TRDV2	1	ENSG00000211821	
SLC10A1	1	ENSG00000100652	
TRDV3	1	ENSG00000256590	
SLC10A2	1	ENSG00000125255	
SPDYC	1	ENSG00000204710	
SLC10A3	1	ENSG00000126903	
TRDV1	1	ENSG00000211804	
SUCO	1	ENSG00000094975	
IL36G	1	ENSG00000136688	
PEX5L	1	ENSG00000114757	
MC1R	1	ENSG00000258839	
SPDYA	1	ENSG00000163806	
OR7E46P	1	ENSG00000234485	
OR3A4P	1	ENSG00000180068	
C8B	1	ENSG00000021852	
C8A	1	ENSG00000157131	
MC4R	1	ENSG00000166603	
C8G	1	ENSG00000176919	
SUFU	1	ENSG00000107882	
RNF213-AS1	1	ENSG00000263069	
BBS9	1	ENSG00000122507	
BBS7	1	ENSG00000138686	
BBS5	1	ENSG00000163093	
BBS4	1	ENSG00000140463	
PCYT1B	1	ENSG00000102230	
ZHX2	1	ENSG00000178764	
PCYT1A	1	ENSG00000161217	
ZHX3	1	ENSG00000174306	
CACYBP	1	ENSG00000116161	
CSRP2P2	1	ENSG00000249098	
EIPR1-IT1	1	ENSG00000224885	
RNU7-4P	1	ENSG00000252770	
ZHX1	1	ENSG00000165156	
RNF144A	1	ENSG00000151692	
MC3R	1	ENSG00000124089	
RNF144B	1	ENSG00000137393	
ENSG00000239182	1	ENSG00000239182	
TAX1BP1	1	ENSG00000106052	
ERCC6L2-AS1	1	ENSG00000175611	
TAX1BP3	1	ENSG00000213977	
ENSG00000252170	1	ENSG00000252170	
RNF13P1	1	ENSG00000242068	
RNU7-7P	1	ENSG00000238606	
PEX16	1	ENSG00000121680	
PEX19	1	ENSG00000162735	
MT2P1	1	ENSG00000162840	
RNU7-6P	1	ENSG00000252654	
PEX10	1	ENSG00000157911	
PEX12	1	ENSG00000108733	
PEX13	1	ENSG00000162928	
PEX14	1	ENSG00000142655	
MC5R	1	ENSG00000176136	
PRDM4-AS1	1	ENSG00000258136	
TILRLS	1	ENSG00000251206	
PPM1J-DT	1	ENSG00000261595	
ENSG00000239137	1	ENSG00000239137	
RN7SL559P	1	ENSG00000240750	
SNORA58B	1	ENSG00000201129	
INPPL1	1	ENSG00000165458	
RBM22P2	1	ENSG00000213411	
RBM22P1	1	ENSG00000265097	
IGF1R	1	ENSG00000140443	
PPIP5K1	1	ENSG00000168781	
PPIP5K2	1	ENSG00000145725	
ENPP2	1	ENSG00000136960	
ENPP1	1	ENSG00000197594	
ENPP4	1	ENSG00000001561	
ENPP3	1	ENSG00000154269	
SAMM50P1	1	ENSG00000224488	
ENPP6	1	ENSG00000164303	
ENSG00000254775	1	ENSG00000254775	
ENPP5	1	ENSG00000112796	
ENPP7	1	ENSG00000182156	
SNORA59A	1	ENSG00000239149	
SNORA59B	1	ENSG00000266079	
CPSF1P2	1	ENSG00000220132	
RN7SL558P	1	ENSG00000243260	
CPSF1P1	1	ENSG00000214076	
NDFIP2-AS1	1	ENSG00000232132	
DHDDS	1	ENSG00000117682	
RNU6-649P	1	ENSG00000207192	
RBMS2P1	1	ENSG00000213250	
RN7SL557P	1	ENSG00000266166	
HTRA3	1	ENSG00000170801	
HTRA4	1	ENSG00000169495	
HTRA1	1	ENSG00000166033	
DAPP1	1	ENSG00000070190	
HTRA2	1	ENSG00000115317	
RNU7-3P	1	ENSG00000252244	
ENSG00000239153	1	ENSG00000239153	
BRINP3-DT	1	ENSG00000237457	
FAM151AP1	1	ENSG00000234805	
ZNF350-AS1	1	ENSG00000269235	
CHCHD10	1	ENSG00000250479	
RNU7-2P	1	ENSG00000251905	
IGF2R	1	ENSG00000197081	
BSPRY	1	ENSG00000119411	
RBM22P5	1	ENSG00000231137	
RBM22P3	1	ENSG00000226485	
OR7M1P	1	ENSG00000273336	
RBM22P7	1	ENSG00000223395	
ENSG00000252122	1	ENSG00000252122	
DIAPH2-AS1	1	ENSG00000236256	
RN7SL555P	1	ENSG00000263905	
CA1	1	ENSG00000133742	
ZIC2	1	ENSG00000043355	
CA3	1	ENSG00000164879	
CA2	1	ENSG00000104267	
ZIC3	1	ENSG00000156925	
ZIC1	1	ENSG00000152977	
CA4	1	ENSG00000167434	
CA7	1	ENSG00000168748	
MIR103A2	1	ENSG00000199024	
CA6	1	ENSG00000131686	
MIR103A1	1	ENSG00000199035	
CA9	1	ENSG00000107159	
RNU6-646P	1	ENSG00000201441	
CA8	1	ENSG00000178538	
SUN3	1	ENSG00000164744	
SUN2	1	ENSG00000100242	
SUN1	1	ENSG00000164828	
ATP6AP1	1	ENSG00000071553	
CAD	1	ENSG00000084774	
ATP6AP2	1	ENSG00000182220	
HUNK	1	ENSG00000142149	
ENSG00000254718	1	ENSG00000254718	
IGHV2OR16-5	1	ENSG00000259303	
SUN5	1	ENSG00000167098	
RBM48P1	1	ENSG00000223620	
CAT	1	ENSG00000121691	
RN7SL554P	1	ENSG00000240936	
RNU6-645P	1	ENSG00000201519	
MSH2-OT1	1	ENSG00000235760	
SHANK3	1	ENSG00000251322	
SHANK2	1	ENSG00000162105	
SHANK1	1	ENSG00000161681	
OR5G1P	1	ENSG00000181296	
DAPL1	1	ENSG00000163331	
CBL	1	ENSG00000110395	
GACAT3	1	ENSG00000236289	
GACAT2	1	ENSG00000265962	
GACAT1	1	ENSG00000232991	
SV2C	1	ENSG00000122012	
SV2B	1	ENSG00000185518	
RNU6-648P	1	ENSG00000222122	
TBX22	1	ENSG00000122145	
SV2A	1	ENSG00000159164	
CBS	1	ENSG00000160200	
TBX21	1	ENSG00000073861	
TBX20	1	ENSG00000164532	
CLVS2	1	ENSG00000146352	
ENSG00000230782	1	ENSG00000230782	
RN7SL553P	1	ENSG00000241227	
CASP3P1	1	ENSG00000237033	
ENSG00000254753	1	ENSG00000254753	
CLVS1	1	ENSG00000177182	
ENSG00000239129	1	ENSG00000239129	
ENSG00000242775	1	ENSG00000242775	
ZIC4	1	ENSG00000174963	
CCK	1	ENSG00000187094	
ZIC5	1	ENSG00000139800	
SUOX	1	ENSG00000139531	
TBX19	1	ENSG00000143178	
TBX18	1	ENSG00000112837	
CD2	1	ENSG00000116824	
ENSG00000254746	1	ENSG00000254746	
TBX15	1	ENSG00000092607	
CD4	1	ENSG00000010610	
CCS	1	ENSG00000173992	
NOPCHAP1	1	ENSG00000151131	
CD6	1	ENSG00000013725	
CD5	1	ENSG00000110448	
RNU6-647P	1	ENSG00000201113	
TBX10	1	ENSG00000167800	
CD7	1	ENSG00000173762	
CD9	1	ENSG00000010278	
RN7SL552P	1	ENSG00000239466	
MNX1-AS1	1	ENSG00000243479	
MNX1-AS2	1	ENSG00000235029	
RPL36AP13	1	ENSG00000233747	
CDA	1	ENSG00000158825	
RPL36AP14	1	ENSG00000233335	
RPL36AP11	1	ENSG00000237003	
RPL36AP12	1	ENSG00000224685	
RPL36AP17	1	ENSG00000226489	
RPL36AP18	1	ENSG00000240426	
CLEC10A	1	ENSG00000132514	
RPL36AP15	1	ENSG00000235369	
RPL36AP16	1	ENSG00000232228	
RPL36AP19	1	ENSG00000243280	
EPS15-AS1	1	ENSG00000227070	
BPTFP1	1	ENSG00000263647	
SCN11A	1	ENSG00000168356	
RNU6-666P	1	ENSG00000200369	
RN7SL575P	1	ENSG00000266536	
ENSG00000230960	1	ENSG00000230960	
RPL36AP20	1	ENSG00000242080	
RNU6-400P	1	ENSG00000212475	
RPL36AP21	1	ENSG00000240785	
RPL36AP24	1	ENSG00000238055	
RPL36AP25	1	ENSG00000225832	
RPL36AP23	1	ENSG00000241722	
SSTR5-AS1	1	ENSG00000261713	
RPL36AP28	1	ENSG00000225416	
RPL36AP29	1	ENSG00000224683	
RPL36AP26	1	ENSG00000235828	
CLEC11A	1	ENSG00000105472	
RPL36AP27	1	ENSG00000225443	
HUS1	1	ENSG00000136273	
CEL	1	ENSG00000170835	
NUP93	1	ENSG00000102900	
BCAN	1	ENSG00000132692	
SCN10A	1	ENSG00000185313	
BCAM	1	ENSG00000187244	
HECW2	1	ENSG00000138411	
HECW1	1	ENSG00000002746	
RNU6-665P	1	ENSG00000207369	
SRFBP1	1	ENSG00000151304	
RN7SL574P	1	ENSG00000266075	
NUP98	1	ENSG00000110713	
SNORA50A	1	ENSG00000206952	
RPL36AP31	1	ENSG00000227753	
SNORA50B	1	ENSG00000253007	
RPL36AP32	1	ENSG00000242958	
CFB	1	ENSG00000243649	
RPL36AP30	1	ENSG00000224629	
CFD	1	ENSG00000197766	
CFH	1	ENSG00000000971	
CFI	1	ENSG00000205403	
CFP	1	ENSG00000126759	
RRP7A	1	ENSG00000189306	
NUP85	1	ENSG00000125450	
NUP88	1	ENSG00000108559	
RNU6-668P	1	ENSG00000201050	
RNU6-402P	1	ENSG00000222610	
RN7SL573P	1	ENSG00000239607	
CGA	1	ENSG00000135346	
C3orf18	1	ENSG00000088543	
SPIN4-AS1	1	ENSG00000233661	
MCAM	1	ENSG00000076706	
CGN	1	ENSG00000143375	
C3orf14	1	ENSG00000114405	
MCAT	1	ENSG00000100294	
ZNF559-ZNF177	1	ENSG00000270011	
OR10AH1P	1	ENSG00000272595	
RNU6-401P	1	ENSG00000212374	
TMEM225B	1	ENSG00000244219	
RNU6-667P	1	ENSG00000252995	
RPL36AP10	1	ENSG00000237959	
MOCS2	1	ENSG00000164172	
MOCS3	1	ENSG00000124217	
STON1	1	ENSG00000243244	
CHM	1	ENSG00000188419	
STON2	1	ENSG00000140022	
ENSG00000230922	1	ENSG00000230922	
POTEF-AS1	1	ENSG00000224087	
MCEE	1	ENSG00000124370	
FGD5-AS1	1	ENSG00000225733	
RRP12	1	ENSG00000052749	
CIC	1	ENSG00000079432	
RNU6-662P	1	ENSG00000206980	
RN7SL571P	1	ENSG00000243274	
RRP15	1	ENSG00000067533	
ZIK1	1	ENSG00000171649	
EDARADD	1	ENSG00000186197	
MIR4659A	1	ENSG00000266038	
C10orf88B	1	ENSG00000255624	
ECRG4	1	ENSG00000119147	
CIT	1	ENSG00000122966	
SLC9B1P3	1	ENSG00000233867	
SLC9B1P2	1	ENSG00000214329	
SLC9B1P4	1	ENSG00000227367	
PCOTH	1	ENSG00000205861	
PLIN4	1	ENSG00000167676	
PLIN3	1	ENSG00000105355	
PLIN2	1	ENSG00000147872	
PLIN1	1	ENSG00000166819	
RCCD1	1	ENSG00000166965	
MOCS1	1	ENSG00000124615	
RNU6-661P	1	ENSG00000199279	
RN7SL570P	1	ENSG00000241174	
PLIN5	1	ENSG00000214456	
TRBV12-1	1	ENSG00000244661	
DCAF12L2	1	ENSG00000198354	
DCAF12L1	1	ENSG00000198889	
PTPN11P5	1	ENSG00000248113	
PTPN11P4	1	ENSG00000250332	
PTPN11P3	1	ENSG00000220412	
PTPN11P2	1	ENSG00000250031	
TRBV12-2	1	ENSG00000211739	
PTPN11P1	1	ENSG00000239455	
SLC9B1P1	1	ENSG00000183704	
MIR4307HG	1	ENSG00000257612	
RASSF10	1	ENSG00000189431	
RRP36	1	ENSG00000124541	
CKB	1	ENSG00000166165	
PAIP2	1	ENSG00000120727	
RNU6-664P	1	ENSG00000199251	
ZIM2	1	ENSG00000269699	
ZIM3	1	ENSG00000141946	
PAIP1	1	ENSG00000172239	
BCHE	1	ENSG00000114200	
HIPK4	1	ENSG00000160396	
CKM	1	ENSG00000104879	
ARHGEF9-IT1	1	ENSG00000231729	
MCF2	1	ENSG00000101977	
MOCOS	1	ENSG00000075643	
G0S2	1	ENSG00000123689	
RRP1B	1	ENSG00000160208	
HIPK1	1	ENSG00000163349	
HIPK3	1	ENSG00000110422	
HIPK2	1	ENSG00000064393	
HERC2P10	1	ENSG00000259845	
HERC2P11	1	ENSG00000261581	
ENSG00000227305	1	ENSG00000227305	
FOSB	1	ENSG00000125740	
CLC	1	ENSG00000105205	
TMEM229A	1	ENSG00000234224	
RNASEH2CP1	1	ENSG00000237659	
RBMS1P1	1	ENSG00000225422	
MSX2P1	1	ENSG00000229590	
TMEM229B	1	ENSG00000198133	
RNU6-663P	1	ENSG00000212407	
DNM3OS	1	ENSG00000230630	
CLU	1	ENSG00000120885	
MT1DP	1	ENSG00000205361	
OIP5	1	ENSG00000104147	
TMEM252-DT	1	ENSG00000226337	
UICLM	1	ENSG00000233392	
IFNA11P	1	ENSG00000231195	
DIO1	1	ENSG00000211452	
DIO2	1	ENSG00000211448	
DIO3	1	ENSG00000197406	
FAM91A1	1	ENSG00000176853	
MTNR1A	1	ENSG00000168412	
MT1CP	1	ENSG00000205360	
MTNR1B	1	ENSG00000134640	
TBCAP1	1	ENSG00000226781	
TBCAP2	1	ENSG00000235829	
TBCAP3	1	ENSG00000249055	
IFNA12P	1	ENSG00000235108	
PMM2P2	1	ENSG00000267116	
RNU6-660P	1	ENSG00000201436	
OR7E62P	1	ENSG00000234896	
CNP	1	ENSG00000173786	
PMM2P1	1	ENSG00000265038	
H2BC19P	1	ENSG00000220323	
EDRF1-AS1	1	ENSG00000236991	
ECI1-AS1	1	ENSG00000261663	
CD300LB	1	ENSG00000178789	
CD300LD	1	ENSG00000204345	
CD300LF	1	ENSG00000186074	
CD300LG	1	ENSG00000161649	
MCL1	1	ENSG00000143384	
SRSF10P1	1	ENSG00000267717	
TCEANC	1	ENSG00000176896	
BCL9	1	ENSG00000116128	
UBOX5	1	ENSG00000185019	
OR6C64P	1	ENSG00000234670	
BCL6	1	ENSG00000113916	
VPS26CP1	1	ENSG00000213083	
CPD	1	ENSG00000108582	
BCL3	1	ENSG00000069399	
BCL2	1	ENSG00000171791	
GLUD1P3	1	ENSG00000250959	
CPE	1	ENSG00000109472	
GLUD1P4	1	ENSG00000267486	
OR51H2P	1	ENSG00000198217	
GLUD1P9	1	ENSG00000234349	
OSCP1	1	ENSG00000116885	
CPM	1	ENSG00000135678	
RPL36AP55	1	ENSG00000226016	
CPP	1	ENSG00000253525	
CPO	1	ENSG00000144410	
MCM7	1	ENSG00000166508	
CPQ	1	ENSG00000104324	
MCM8	1	ENSG00000125885	
COL14A1	1	ENSG00000187955	
SMAD3-AS1	1	ENSG00000259202	
MCM9	1	ENSG00000111877	
CPZ	1	ENSG00000109625	
KBTBD13	1	ENSG00000234438	
KBTBD12	1	ENSG00000187715	
SRIP1	1	ENSG00000248660	
H2BC16P	1	ENSG00000217646	
SRIP2	1	ENSG00000224065	
SRIP3	1	ENSG00000224953	
CEP170B	1	ENSG00000099814	
OIT3	1	ENSG00000138315	
CLEC12A-AS1	1	ENSG00000231560	
DPRXP5	1	ENSG00000270652	
DPRXP4	1	ENSG00000264743	
CR2	1	ENSG00000117322	
CR1	1	ENSG00000203710	
DPRXP2	1	ENSG00000271304	
GGPS1	1	ENSG00000152904	
DPRXP1	1	ENSG00000224323	
DIS3	1	ENSG00000083520	
SGIP1	1	ENSG00000118473	
HMGN2P19	1	ENSG00000229367	
HMGN2P18	1	ENSG00000223452	
DPRXP7	1	ENSG00000271464	
HMGN2P17	1	ENSG00000238249	
DPRXP6	1	ENSG00000270791	
HMGN2P16	1	ENSG00000231376	
HMGN2P15	1	ENSG00000214578	
OR6C66P	1	ENSG00000233606	
HMGN2P13	1	ENSG00000241810	
SAPCD2	1	ENSG00000186193	
SAPCD1	1	ENSG00000228727	
HMGN2P11	1	ENSG00000232605	
HMGN2P10	1	ENSG00000231261	
MCM3	1	ENSG00000112118	
XCL2	1	ENSG00000143185	
CRH	1	ENSG00000147571	
ST20-MTHFS	1	ENSG00000259332	
MCM4	1	ENSG00000104738	
XCL1	1	ENSG00000143184	
MCM5	1	ENSG00000100297	
MCM6	1	ENSG00000076003	
IGKV3D-7	1	ENSG00000228325	
CRK	1	ENSG00000167193	
MCM2	1	ENSG00000073111	
CRP	1	ENSG00000132693	
RPL36AP35	1	ENSG00000231810	
RPL36AP36	1	ENSG00000237540	
RPL36AP33	1	ENSG00000235619	
ICMT-DT	1	ENSG00000225077	
RPL36AP34	1	ENSG00000232867	
RPL36AP39	1	ENSG00000230980	
RPL36AP37	1	ENSG00000244398	
RPL36AP38	1	ENSG00000241097	
CRX	1	ENSG00000105392	
SELENOKP2	1	ENSG00000219532	
BUB3P1	1	ENSG00000227968	
SELENOKP1	1	ENSG00000267319	
C1RL-AS1	1	ENSG00000205885	
SELENOKP3	1	ENSG00000225549	
HMGN2P28	1	ENSG00000236086	
HMGN2P27	1	ENSG00000232916	
STOX2	1	ENSG00000173320	
HMGN2P26	1	ENSG00000241203	
HMGN2P25	1	ENSG00000228398	
HMGN2P24	1	ENSG00000229072	
HMGN2P23	1	ENSG00000236124	
HMGN2P22	1	ENSG00000227259	
SVBP	1	ENSG00000177868	
HMGN2P21	1	ENSG00000228034	
HMGN2P20	1	ENSG00000232963	
IL21R	1	ENSG00000103522	
CSK	1	ENSG00000103653	
BCO2	1	ENSG00000197580	
BCO1	1	ENSG00000135697	
RPL36AP43	1	ENSG00000241362	
STOX1	1	ENSG00000165730	
RPL36AP40	1	ENSG00000240298	
RPL36AP41	1	ENSG00000242087	
SLC35A2	1	ENSG00000102100	
RPL36AP46	1	ENSG00000224011	
SLC35A1	1	ENSG00000164414	
RPL36AP47	1	ENSG00000242123	
SLC35A4	1	ENSG00000176087	
ITGA9-AS1	1	ENSG00000235257	
RPL36AP44	1	ENSG00000240163	
